None,belief,emotion,intention,action,understanding,influence,transformation
gpt-4o-2024-05-13,0.5741626794258373,0.6427432216905901,0.6602870813397129,0.6457431457431457,0.847979797979798,0.7185185185185186,0.4713804713804714
gpt-4-turbo-2024-04-09,0.4253056884635832,0.49920255183413076,0.5236576289207868,0.5238095238095238,0.7287878787878788,0.5562289562289562,0.3313692480359147
Meta-Llama-3.1-70B-Instruct,0.46624136097820307,0.6055289739500266,0.6220095693779905,0.637085137085137,0.8424242424242424,0.6,0.42368125701459036
Meta-Llama-3.1-8B-Instruct,0.25252525252525254,0.2716640085061138,0.21637426900584794,0.18831168831168832,0.28888888888888886,0.25993265993265996,0.19528619528619529
Mixtral-8x7B-Instruct-v0.1,0.15045188729399256,0.20893141945773525,0.1919191919191919,0.14285714285714285,0.23939393939393938,0.2505050505050505,0.10914702581369248
Mistral-7B-Instruct-v0.3,0.1621477937267411,0.17278043593833067,0.16267942583732056,0.1277056277056277,0.20353535353535354,0.23703703703703705,0.10044893378226712
Qwen2-72B-Instruct,0.47368421052631576,0.6012759170653907,0.6135034556087188,0.4862914862914863,0.8232323232323232,0.6430976430976431,0.3549382716049383
Qwen2-7B-Instruct,0.2052099946836789,0.29399255715045186,0.22488038277511962,0.1911976911976912,0.3015151515151515,0.24848484848484848,0.18546576879910212
DeepSeek-V2-Lite-Chat,0.10792131844763424,0.08665603402445508,0.08187134502923976,0.05844155844155844,0.05858585858585859,0.13468013468013468,0.07996632996632996
glm-4-9b-chat,0.2982456140350877,0.3062200956937799,0.24933545986177566,0.2518037518037518,0.38333333333333336,0.3218855218855219,0.20145903479236812
